dataset,,,Aircraft,Aircraft,Aircraft,Aircraft,CIFAR10,CIFAR10,CIFAR10,CIFAR10,CIFAR100,CIFAR100,CIFAR100,CIFAR100,EuroSAT,EuroSAT,EuroSAT,EuroSAT,Flowers,Flowers,Flowers,Flowers
,,,mean_clean_accuracy,mean_robust_accuracy,mean_nat_dormant,mean_adv_dormant,mean_clean_accuracy,mean_robust_accuracy,mean_nat_dormant,mean_adv_dormant,mean_clean_accuracy,mean_robust_accuracy,mean_nat_dormant,mean_adv_dormant,mean_clean_accuracy,mean_robust_accuracy,mean_nat_dormant,mean_adv_dormant,mean_clean_accuracy,mean_robust_accuracy,mean_nat_dormant,mean_adv_dormant
backbone,loss_function,init_lr,,,,,,,,,,,,,,,,,,,,
vit_base_patch16_224.augreg_in21k,APGD,0.001,0.0098920863309352,0.0098920863309352,0.6642085814948513,0.6642085814948513,-2.0,-2.0,-2.0,-2.0,-2.0,-2.0,-2.0,-2.0,-2.0,-2.0,-2.0,-2.0,0.0112158647594278,0.0043888166449934,0.6576598764396293,0.6576598764396293
vit_base_patch16_224.augreg_in21k,TRADES_v2,0.0001,0.0113908872901678,0.0101918465227817,0.6525612734868644,0.6525612734868644,,,,,-2.0,-2.0,-2.0,-2.0,-1.0,-1.0,-1.0,-1.0,0.1071196358907672,0.0461638491547464,0.6265935382261302,0.6265935382261302
vit_base_patch16_224.augreg_in21k,TRADES_v2,0.0005,0.0098920863309352,0.0098920863309352,0.6652544582174376,0.6652544582174376,,,,,-2.0,-2.0,-2.0,-2.0,-1.0,-1.0,-1.0,-1.0,0.0227568270481144,0.0162548764629388,0.6765770366244375,0.6765770366244375
vit_base_patch16_224.augreg_in21k,TRADES_v2,0.001,0.0098920863309352,0.0098920863309352,0.6879364678771637,0.6879364678771637,,,,,-2.0,-2.0,-2.0,-2.0,-1.0,-1.0,-1.0,-1.0,0.0143042912873862,0.0048764629388816,0.6593203787957509,0.6593203787957509
wideresnet_28_10,APGD,0.0001,-2.0,-2.0,-2.0,-2.0,-2.0,-2.0,-2.0,-2.0,-2.0,-2.0,-2.0,-2.0,-2.0,-2.0,-2.0,-2.0,-1.0,-1.0,-1.0,-1.0
wideresnet_28_10,APGD,0.0005,-2.0,-2.0,-2.0,-2.0,-2.0,-2.0,-2.0,-2.0,-2.0,-2.0,-2.0,-2.0,-2.0,-2.0,-2.0,-2.0,0.0118660598179453,0.0011378413524057,0.6781231614041969,0.6781231614041969
wideresnet_28_10,APGD,0.001,-2.0,-2.0,-2.0,-2.0,-2.0,-2.0,-2.0,-2.0,-2.0,-2.0,-2.0,-2.0,-2.0,-2.0,-2.0,-2.0,0.0100780234070221,0.0,0.6547362227887821,0.6547362227887821
wideresnet_28_10,TRADES_v2,0.0001,-2.0,-2.0,-2.0,-2.0,,,,,-2.0,-2.0,-2.0,-2.0,-2.0,-2.0,-2.0,-2.0,0.0308842652795838,0.0,0.0426554226318886,0.0426554226318886
wideresnet_28_10,TRADES_v2,0.0005,-2.0,-2.0,-2.0,-2.0,,,,,-2.0,-2.0,-2.0,-2.0,-2.0,-2.0,-2.0,-2.0,0.0105656697009102,0.0,0.20104432241616,0.20104432241616
wideresnet_28_10,TRADES_v2,0.001,-2.0,-2.0,-2.0,-2.0,,,,,-2.0,-2.0,-2.0,-2.0,-2.0,-2.0,-2.0,-2.0,0.0143042912873862,0.0029258777633289,0.1271082565208864,0.1271082565208864
