,clean_acc,robust_acc,backbone,dataset,loss_function,zero_adv_train0,dormant_adv_train0,overactive_adv_train0,zero_adv_train5,dormant_adv_train5,overactive_adv_train5,zero_adv_val0,dormant_adv_val0,overactive_adv_val0,zero_adv_val5,dormant_adv_val5,overactive_adv_val5
122,0.802,0.3506666666666667,convnext_base.clip_laion2b_augreg,oxford-iiit-pet,TRADES_v2,0.002581311306143521,0.004505561552541418,0.025296850800206504,0.005115689679448069,0.013704416388980147,0.042333505420753745,0.004575960951799878,0.014455343314403717,0.04157084526212043,0.005526352841789084,0.0047519594499460275,0.025590181630450088
124,0.2906666666666667,0.106,convnext_base.clip_laion2b_augreg,fgvc-aircraft-2013b,CLASSIC_AT,0.005194197473093121,0.00500701918577445,0.02615816565278428,0.006036499766027141,0.014599906410856341,0.0415067852129153,0.00527608797379504,0.0157463734206832,0.0386055217594759,0.005030416471689284,0.005439868975198877,0.026123069723912026
125,0.5653333333333334,0.328,convnext_base.clip_laion2b_augreg,dtd,CLASSIC_AT,0.005441666275742365,0.0036590514612750385,0.02359619083360698,0.0036590514612750385,0.008256321245953933,0.04067176431955716,0.0032954918609560445,0.01121170896467608,0.04779049584838392,0.002908476802551954,0.0036473237322324904,0.02360791856264953
126,0.30133333333333334,0.14466666666666667,convnext_base.clip_laion2b_augreg,flowers-102,CLASSIC_AT,0.003181733108740408,0.005334081976417743,0.028214486243683324,0.010855324723937862,0.016610518435335953,0.04562043795620438,0.0069834362717574395,0.019862436833239752,0.04550346247426539,0.004374883024518061,0.005860471645143178,0.029161987647389108
127,0.30133333333333334,0.14466666666666667,convnext_base.clip_laion2b_augreg,flowers-102,CLASSIC_AT,0.003181733108740408,0.005334081976417743,0.028214486243683324,0.010855324723937862,0.016610518435335953,0.04562043795620438,0.0069834362717574395,0.019862436833239752,0.04550346247426539,0.004374883024518061,0.005860471645143178,0.029161987647389108
128,0.7766666666666666,0.2811666666666667,convnext_base.clip_laion2b_augreg,oxford-iiit-pet,CLASSIC_AT,0.0027221101046604403,0.004458628619702445,0.025484582531562397,0.004740226216736284,0.013235087060590416,0.040550053972872764,0.005279954944384474,0.012050030506406345,0.04067911953817994,0.005596752241047543,0.004669826817477824,0.025766180128596237
129,0.7766666666666666,0.2811666666666667,convnext_base.clip_laion2b_augreg,oxford-iiit-pet,CLASSIC_AT,0.0027221101046604403,0.004458628619702445,0.025484582531562397,0.004740226216736284,0.013235087060590416,0.040550053972872764,0.005279954944384474,0.012050030506406345,0.04067911953817994,0.005596752241047543,0.004669826817477824,0.025766180128596237
130,0.7766666666666666,0.2811666666666667,convnext_base.clip_laion2b_augreg,oxford-iiit-pet,CLASSIC_AT,0.0027221101046604403,0.004458628619702445,0.025484582531562397,0.004740226216736284,0.013235087060590416,0.040550053972872764,0.005279954944384474,0.012050030506406345,0.04067911953817994,0.005596752241047543,0.004669826817477824,0.025766180128596237
131,0.7766666666666666,0.2811666666666667,convnext_base.clip_laion2b_augreg,oxford-iiit-pet,CLASSIC_AT,0.0027221101046604403,0.004458628619702445,0.025484582531562397,0.004740226216736284,0.013235087060590416,0.040550053972872764,0.005279954944384474,0.012050030506406345,0.04067911953817994,0.005596752241047543,0.004669826817477824,0.025766180128596237
132,0.7766666666666666,0.2811666666666667,convnext_base.clip_laion2b_augreg,oxford-iiit-pet,CLASSIC_AT,0.0027221101046604403,0.004458628619702445,0.025484582531562397,0.004740226216736284,0.013235087060590416,0.040550053972872764,0.005279954944384474,0.012050030506406345,0.04067911953817994,0.005596752241047543,0.004669826817477824,0.025766180128596237
133,0.7766666666666666,0.2811666666666667,convnext_base.clip_laion2b_augreg,oxford-iiit-pet,CLASSIC_AT,0.0027221101046604403,0.004458628619702445,0.025484582531562397,0.004740226216736284,0.013235087060590416,0.040550053972872764,0.005279954944384474,0.012050030506406345,0.04067911953817994,0.005596752241047543,0.004669826817477824,0.025766180128596237
134,0.7766666666666666,0.2811666666666667,convnext_base.clip_laion2b_augreg,oxford-iiit-pet,CLASSIC_AT,0.0027221101046604403,0.004458628619702445,0.025484582531562397,0.004740226216736284,0.013235087060590416,0.040550053972872764,0.005279954944384474,0.012050030506406345,0.04067911953817994,0.005596752241047543,0.004669826817477824,0.025766180128596237
135,0.7766666666666666,0.2811666666666667,convnext_base.clip_laion2b_augreg,oxford-iiit-pet,CLASSIC_AT,0.0027221101046604403,0.004458628619702445,0.025484582531562397,0.004740226216736284,0.013235087060590416,0.040550053972872764,0.005279954944384474,0.012050030506406345,0.04067911953817994,0.005596752241047543,0.004669826817477824,0.025766180128596237
136,0.24266666666666667,0.04,vit_base_patch16_224.augreg_in1k,stanford_cars,TRADES_v2,0.012978500262191925,0.024657958716689708,0.03860180197359012,0.015409734471087382,0.051639891309529486,0.04783810840444296,0.011432163798445917,0.05617164036802212,0.0457256757400963,0.013544596462792583,0.025429637221719027,0.03825320589216761
138,0.114,0.0175,vit_base_patch16_224.augreg_in1k,fgvc-aircraft-2013b,TRADES_v2,0.022371498114828425,0.02763327447143607,0.04341860354125901,0.10672696033980814,0.052892187276285016,0.04779745143893476,0.11309538013649596,0.061739369064095835,0.048614756836729826,0.021655610175153914,0.02971531522932277,0.044489452584355466
139,0.114,0.0175,vit_base_patch16_224.augreg_in1k,fgvc-aircraft-2013b,TRADES_v2,0.022371498114828425,0.02763327447143607,0.04341860354125901,0.10672696033980814,0.052892187276285016,0.04779745143893476,0.11309538013649596,0.061739369064095835,0.048614756836729826,0.021655610175153914,0.02971531522932277,0.044489452584355466
140,0.114,0.0175,vit_base_patch16_224.augreg_in1k,fgvc-aircraft-2013b,TRADES_v2,0.022371498114828425,0.02763327447143607,0.04341860354125901,0.10672696033980814,0.052892187276285016,0.04779745143893476,0.11309538013649596,0.061739369064095835,0.048614756836729826,0.021655610175153914,0.02971531522932277,0.044489452584355466
141,0.5346666666666666,0.23933333333333334,vit_base_patch16_224.augreg_in1k,dtd,TRADES_v2,0.058011676357167585,0.01282250265643095,0.03206819565658616,0.03323821917644671,0.026528492460511706,0.04085531107104908,0.023012452393175658,0.021937940997385354,0.039879296553206225,0.016854905144521783,0.014073114530975775,0.03445301400446519
142,0.04133333333333333,0.019333333333333334,vit_base_patch16_224.augreg_in1k,flowers-102,TRADES_v2,0.05993032190326199,0.019901209821748155,0.036843486768320326,0.08002243062018279,0.06861622163361729,0.0482735581167824,0.038791252058128715,0.06033001646502971,0.04683286801727635,0.016557496360989812,0.02346565013004987,0.03933113799603885
