backbone_name,model_size,model_type,loss_function,pre_training_strategy,dataset,clean_acc,Linf_acc,L2_acc,L1_acc,common_acc
"vit_b,dino,in1k",medium,fully attention,TRADES,self-supervised,fgvc-aircraft-2013b,0.02666666666666667,0.004,0.008,0.0026666666666666666,0.027
"convnext_b,sup,in22k",large,fully convolutional,TRADES,supervised,fgvc-aircraft-2013b,0.663,0.37,0.342,0.133,0.59
"convnext_b,rob-sup,in1k",large,fully convolutional,TRADES,supervised (robust),fgvc-aircraft-2013b,0.655,0.427,0.2986666666666667,0.07466666666666667,0.588
"vit_b,sup,in1k",large,fully attention,TRADES,supervised,fgvc-aircraft-2013b,0.497,0.155,0.128,0.017,0.43
"vit_b,sup,in22k",large,fully attention,TRADES,supervised,fgvc-aircraft-2013b,0.178,0.011,0.016,0.004,0.154
"vit_b,clip,laion2b",large,fully attention,TRADES,self-supervised (multimodal),fgvc-aircraft-2013b,0.391,0.129,0.06,0.007,0.3
"convnext_t,sup,in1k",medium,fully convolutional,TRADES,supervised,fgvc-aircraft-2013b,0.604,0.196,0.22266666666666668,0.056,0.509
"convnext_t,rob-sup,in1k",medium,fully convolutional,TRADES,supervised (robust),fgvc-aircraft-2013b,0.288,0.052,0.012,0.0026666666666666666,0.228
"deit_s,rob-sup,in1k",medium,fully attention,TRADES,supervised (robust),fgvc-aircraft-2013b,0.6213333333333333,0.3253333333333333,0.219,0.022,0.566
"vit_s,sup,in1k",medium,fully attention,TRADES,supervised,fgvc-aircraft-2013b,0.035,0.007,0.007,0.006,0.030666666666666665
"convnext_t,sup,in22k",medium,fully convolutional,TRADES,supervised,fgvc-aircraft-2013b,0.628,0.33066666666666666,0.324,0.105,0.536
"vit_b,clip,laion2b",large,fully attention,TRADES,fusion,fgvc-aircraft-2013b,0.499,0.179,0.079,0.004,0.4146666666666667
"vit_b,sup,ink22k-in1k",large,fully attention,TRADES,supervised (multistep),fgvc-aircraft-2013b,0.1,0.009,0.01,0.001,0.088
"vit_s,sup,ink22k-in1k",medium,fully attention,TRADES,supervised (multistep),fgvc-aircraft-2013b,0.467,0.113,0.092,0.008,0.4093333333333333
"eva02_b,mim,ink22k",large,fully attention,TRADES,self-supervised,fgvc-aircraft-2013b,0.5946666666666667,0.328,0.331,0.09866666666666667,0.541
"eva02_b,mim,ink22k",medium,fully attention,TRADES,self-supervised,fgvc-aircraft-2013b,0.397,0.04,0.02,0.005,0.308
"swin_b,sup,ink22k-in1k",large,fully attention,TRADES,supervised (multistep),fgvc-aircraft-2013b,0.606,0.298,0.264,0.068,0.52
"swin_t,sup,in1k",medium,fully attention,TRADES,supervised,fgvc-aircraft-2013b,0.558,0.208,0.177,0.034,0.469
"convnext_b,hybrid,laion2b-in12k-in1k",large,fully convolutional,TRADES,fusion,fgvc-aircraft-2013b,0.631,0.374,0.275,0.05466666666666667,0.54
"convnext_b,sup,in22k-in1k",large,fully convolutional,TRADES,supervised (multistep),fgvc-aircraft-2013b,0.66,0.379,0.352,0.11,0.579
"convnext_t,sup,in22k-in1k",medium,fully convolutional,TRADES,supervised (multistep),fgvc-aircraft-2013b,0.503,0.02,0.028,0.021,0.42
"coatnet_0,sup,in1k",medium,hybrid,TRADES,supervised,fgvc-aircraft-2013b,0.506,0.195,0.174,0.04,0.425
"coatnet_2,sup,in12k-in1k",large,hybrid,TRADES,supervised (multistep),fgvc-aircraft-2013b,0.614,0.322,0.254,0.048,0.548
"coatnet_2,sup,in12k",large,hybrid,TRADES,supervised,fgvc-aircraft-2013b,0.64,0.378,0.288,0.066,0.5773333333333334
"regnetx_004,sup,in1k",small,fully convolutional,TRADES,supervised,fgvc-aircraft-2013b,0.427,0.0,0.0,0.004,0.32133333333333336
"efficientnet_b0,sup,in1k",small,fully convolutional,TRADES,supervised,fgvc-aircraft-2013b,0.02266666666666667,0.0,0.0,0.0,0.017
"deit_t,sup,in1k",small,fully attention,TRADES,supervised,fgvc-aircraft-2013b,0.478,0.11,0.065,0.007,0.387
"mobilevit_s,sup,in1k",small,hybrid,TRADES,supervised,fgvc-aircraft-2013b,0.169,0.014,0.01,0.004,0.137
"mobilenet_v3,sup,in1k",small,fully convolutional,TRADES,supervised,fgvc-aircraft-2013b,0.332,0.0,0.0,0.008,0.277
"edgenetx_s,sup,in1k",small,hybrid,TRADES,supervised,fgvc-aircraft-2013b,0.553,0.118,0.141,0.036,0.469
"coat_t,sup,in1k",small,hybrid,TRADES,supervised,fgvc-aircraft-2013b,0.572,0.204,0.16533333333333333,0.021333333333333333,0.487
